generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
indomethacin,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, agranulocytosis, alkalosis, alopecia, anaemia, anaphylactic shock, angioedema, anorectal discomfort, anxiety","acidosis, aplastic anaemia, blood potassium increased, coma, disseminated intravascular coagulation, epilepsy, haemolytic anaemia, hepatitis toxic, nephritis, nephrotic syndrome","intestinal ulcer, leukaemia, retinopathy of prematurity, thrombocytopenic purpura","cellulitis gangrenous, necrotising fasciitis, nephritic syndrome","ankylosing spondylitis, diverticulum, gastric perforation, gouty arthritis, pulmonary vasculitis"
iohexol,"abdominal pain, amylase increased, anaphylactic shock, angioedema, angiopathy, arrhythmia, arthralgia, arthritis, body temperature increased, bone disorder, bradycardia, bronchospasm","anaphylactoid reaction, arterial spasm, electroencephalogram abnormal, ischaemia, laryngeal oedema, laryngospasm, presyncope","blindness transient, meningism, motor dysfunction, toxicity to various agents","meningitis chemical, non-cardiogenic pulmonary oedema, ventricular hypokinesia",contrast media reaction
iopamidol,"abdominal pain, acute coronary syndrome, agitation, amnesia, anaphylactic shock, angina pectoris, anxiety, aphasia, apnoea, areflexia, arrhythmia, asthenia","anaphylactoid reaction, anuria, arterial spasm, asterixis, blindness, blindness cortical, choking, coma, electrocardiogram change, electrocardiogram st segment depression","arterial thrombosis, cardiac fibrillation, guillain-barre syndrome, meningism, meningitis aseptic, myelitis, necrosis","cardio-respiratory arrest, cauda equina syndrome, echolalia, grimacing, heart disease congenital, myelitis transverse, sinus arrest, vith nerve paralysis","contrast media reaction, dysacusis, facial neuralgia, meningitis bacterial, spinal cord injury"
iopromide,"abdominal discomfort, abdominal pain, abdominal pain upper, acute coronary syndrome, acute respiratory distress syndrome, affect lability, agitation, amnesia, anaphylactic shock, angina pectoris, angioedema, angiopathy","anaphylactoid reaction, autonomic nervous system imbalance, blindness cortical, brain oedema, cerebral infarction, cerebral ischaemia, coma, diabetes insipidus, effusion, haemoglobin increased","lip swelling, meningism, necrosis, oedema mucosal, respiratory arrest, tongue paralysis, vascular anomaly, vasospasm","body temperature fluctuation, coronary artery thrombosis, meningitis chemical, pericardial haemorrhage, status asthmaticus, thyrotoxic crisis",
ioversol,"acute coronary syndrome, agitation, amnesia, anaphylactic shock, angina pectoris, angioedema, anxiety, aphasia, apnoea, arrhythmia, asthma, atrioventricular block","acidosis, anuria, aortic valve stenosis, arterial occlusive disease, arterial spasm, arteriosclerosis, blindness, blindness cortical, cardiogenic shock, cerebral infarction","arterial thrombosis, cardiac tamponade, electrocardiogram st segment elevation, motor dysfunction, necrosis","arteriovenous fistula, cardio-respiratory arrest, coronary artery thrombosis, myelitis transverse, quadriplegia, renal colic, sinus arrest, vascular pseudoaneurysm","anoxia, artery dissection, lordosis, renal infarct, spinal cord injury, vessel perforation"
isoflurane,"agitation, arrhythmia, body temperature increased, breath holding, bronchospasm, cardiac arrest, cardiac disorder, chills, cough, delirium, dermatitis, hallucination","laryngospasm, rhythm idioventricular, traumatic liver injury","hepatic necrosis, necrosis","carbon dioxide increased, hypercapnia",postoperative ileus
isoniazid,"agranulocytosis, asthenia, body temperature increased, convulsion, decreased appetite, diabetes mellitus, discomfort, dyspepsia, emotional distress, eosinophilia, fatigue, feeling abnormal",aplastic anaemia,"systemic lupus erythematosus, toxic encephalopathy",atrophy,"nicotinic acid deficiency, vitamin b6 deficiency"
isradipine,"abdominal discomfort, acute coronary syndrome, anaemia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anxiety, arthralgia, asthenia, atrial fibrillation, back pain",,,,
itraconazole,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia, anaphylactic shock, angioedema, angiopathy, anxiety","adrenal insufficiency, anaphylactoid reaction, drug interaction, increased bronchial secretion, left ventricular failure, liver disorder, onychomycosis, serum sickness, sinus bradycardia, sputum increased","acute generalised exanthematous pustulosis, acute hepatic failure, congenital anomaly, developmental delay, foetor hepaticus, inner ear disorder, leukocytoclastic vasculitis","hepatic enzyme abnormal, implant site reaction, teratogenicity",encephalocele
ivabradine,"angioedema, angiopathy, asthenia, atrial fibrillation, blood creatinine increased, blood uric acid increased, bradycardia, cardiac disorder, connective tissue disorder, constipation, dermatitis, diarrhoea","sick sinus syndrome, supraventricular extrasystoles",,,
ivacaftor,"abdominal pain, arthralgia, aspartate aminotransferase increased, blood bilirubin increased, blood glucose increased, breast disorder, connective tissue disorder, dermatitis, diarrhoea, dizziness, ear pain, gastrointestinal disorder","ear congestion, ear discomfort, mastitis, nipple pain, vestibular disorder",nipple disorder,breast mass,"pharyngeal erythema, tympanic membrane hyperaemia"
ixabepilone,"abdominal pain, acute coronary syndrome, alopecia, anaemia, angina pectoris, angiopathy, areflexia, arthralgia, asthenia, bacterial infection, body temperature increased, bone disorder","arrhythmia supraventricular, atrial flutter, cognitive disorder, enterocolitis, impaired gastric emptying, peripheral sensorimotor neuropathy, respiratory failure","acute hepatic failure, acute pulmonary oedema, left ventricular dysfunction",,"allodynia, decreased vibratory sense, hypovolaemic shock, multifocal motor neuropathy, neuromuscular toxicity, sensorimotor disorder, toxic neuropathy"
ketoprofen,"abdominal pain, abdominal pain upper, acute coronary syndrome, affective disorder, agranulocytosis, alopecia, amnesia, anaemia, anaphylactic shock, angioedema, anorectal discomfort, anxiety","aplastic anaemia, colitis ulcerative, laryngeal oedema, menometrorrhagia, nephrotic syndrome, onycholysis, peripheral vascular disorder, proctocolitis, rectal tenesmus, sjogren's syndrome","haemolysis, hepatitis cholestatic, intestinal ulcer, meningitis aseptic, necrosis",,
labetalol,"abdominal pain, abdominal pain upper, affect lability, agranulocytosis, alopecia, amnesia, anaphylactic shock, angina pectoris, angioedema, asthenia, atrioventricular block, blood urea increased","anaphylactoid reaction, catatonia, drug eruption, ejaculation failure, intermittent claudication, laryngospasm, lichen planus, loss of libido","drug effect increased, hepatic necrosis, peyronie's disease, systemic lupus erythematosus",purpura non-thrombocytopenic,"collagen disorder, mesenteric artery thrombosis, myopathy toxic"
lacosamide,"affect lability, aggression, agitation, agranulocytosis, anaemia, angioedema, asthenia, ataxia, atrial fibrillation, atrioventricular block, atrioventricular block first degree, balance disorder","atrial flutter, atrioventricular block complete, blood disorder, cerebellar syndrome, cognitive disorder, electrocardiogram pr prolongation, feeling drunk, nephritis",inner ear disorder,"hepatitis viral, type iv hypersensitivity reaction",
lactulose,"abdominal discomfort, abdominal distension, decreased appetite, dehydration, diarrhoea, eructation, flatulence, gastrointestinal pain, hypernatraemia, hypokalaemia, hyponatraemia, muscle spasms",,,,
lamivudine,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, acne, affect lability, affective disorder, agranulocytosis, alanine aminotransferase increased, alopecia, amblyopia, amylase increased","acidosis, aplasia pure red cell, aplastic anaemia, blood disorder, completed suicide, drug interaction, gastrointestinal infection, hepatic steatosis, hyperamylasaemia, hyperpathia",mucosal pigmentation,"auricular swelling, autoimmune disorder, basedow's disease, hepatitis b, hepatitis c, insulin resistance, pregnancy","chronic hepatitis, pancreatic enzymes abnormal"
lamotrigine,"abdominal distension, abdominal pain, abnormal dreams, abscess, accommodation disorder, acne, action tremor, acute coronary syndrome, affect lability, ageusia, agitation, agranulocytosis","anaemia macrocytic, aplasia pure red cell, aplastic anaemia, bipolar disorder, bipolar i disorder, blood disorder, breast neoplasm, cerebellar syndrome, coma, completed suicide","balanitis, breast abscess, clonic convulsion, drug reaction with eosinophilia and systemic symptoms, enterocolitis haemorrhagic, lip swelling, meningitis aseptic, suicidal behaviour",breast feeding,"drug withdrawal convulsions, organ failure, sudden unexplained death in epilepsy"
lansoprazole,"abdominal discomfort, abdominal distension, abdominal pain, abnormal dreams, acute coronary syndrome, affect lability, ageusia, agitation, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia","abdominal tenderness, abnormal faeces, anaphylactoid reaction, aplastic anaemia, biliary colic, blood disorder, blood potassium increased, cerebral infarction, colitis ulcerative, duodenitis","autoimmune haemolytic anaemia, congenital genitourinary abnormality, drug-induced liver injury, gastrointestinal candidiasis, leukocytoclastic vasculitis, oesophageal achalasia, platelet disorder, pulmonary fibrosis","albumin globulin ratio abnormal, bezoar, blood electrolytes decreased, colitis microscopic, crystal urine present, fixed eruption, idiopathic thrombocytopenic purpura, mucous stools","b-cell lymphoma, barrett's oesophagus, blood gastrin increased, central obesity, cholecystitis acute, disease recurrence, gastrointestinal hypermotility, gastrointestinal malformation"
lapatinib,"abdominal pain, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angiopathy, arthralgia, asthenia, back pain, blood bilirubin increased, cardiac disorder, cardiac failure",blood disorder,,metastatic neoplasm,
latanoprost,"angina pectoris, arthralgia, asthma, back pain, blepharitis, bronchitis, chest pain, conjunctival hyperaemia, conjunctivitis, connective tissue disorder, cystoid macular oedema, dermatitis","corneal oedema, keratopathy, macular oedema, ophthalmic herpes simplex, retinal detachment, vitreous haemorrhage",diabetic retinopathy,,skin reaction
leflunomide,"abdominal pain, abscess, acne, agranulocytosis, albuminuria, alopecia, amblyopia, anaemia, anaphylactic shock, angina pectoris, angioedema, anxiety","anaphylactoid reaction, blood disorder, cyst, drug abuse, hair colour changes, hernia, hypertensive crisis, iron deficiency anaemia, liver disorder, polyp","acute yellow liver atrophy, congenital anomaly, cutaneous lupus erythematosus, developmental delay, foetor hepaticus, immobile, pre-existing disease, pulmonary fibrosis","acquired immunodeficiency syndrome, autoimmune disorder, hepatic enzyme abnormal, hypouricaemia, malignant hypertension, sperm concentration, urine phosphorus increased","juvenile idiopathic arthritis, overdose"
lenalidomide,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abnormal dreams, abscess, acute coronary syndrome, affect lability, ageusia, agitation, agranulocytosis, alanine aminotransferase increased","abdominal tenderness, acute febrile neutrophilic dermatosis, acute leukaemia, acute myeloid leukaemia, acute sinusitis, alveolitis allergic, aortic valve stenosis, arrhythmia supraventricular, atrial flutter, blindness","acute hepatic failure, autoimmune haemolytic anaemia, congenital anomaly, developmental delay, foetor hepaticus, haemochromatosis, haemolysis, hepatitis cholestatic","basedow's disease, caecitis, cardio-respiratory arrest, device related infection, fanconi syndrome acquired, femur fracture, glioblastoma multiforme, hypercoagulation","aortic disorder, bronchioloalveolar carcinoma, cerebellar infarction, cervical vertebral fracture, cholecystitis acute, chondrocalcinosis, culture negative, dental discomfort"
letrozole,"abdominal pain, acute coronary syndrome, alopecia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anxiety, arthralgia, arthritis, asthenia, back pain","cerebral infarction, coronary artery disease, cyst, endometrial hyperplasia, haemorrhagic stroke, menopause, nephropathy, osteopenia, polyp, venous thrombosis","arterial thrombosis, endometrial cancer, rash vesicular","dermatitis psoriasiform, musculoskeletal disorder, portal vein thrombosis, trigger finger","oestrogen deficiency, oestrogenic effect"
levetiracetam,"abdominal pain, abdominal pain upper, abnormal behaviour, affect lability, aggression, agitation, agranulocytosis, albuminuria, alopecia, amblyopia, amnesia, anger","antisocial behaviour, antisocial personality disorder, asocial behaviour, blood disorder, completed suicide, drug abuse, drug interaction, drug level increased, head injury, ligament sprain","foetor hepaticus, suicidal behaviour","dependence, pregnancy, psychiatric symptom, teratogenicity","community acquired infection, drug withdrawal convulsions, progesterone"
levonorgestrel,"abdominal distension, abdominal pain, abdominal pain lower, acne, affect lability, alopecia, amenorrhoea, anaemia, angioedema, anxiety, application site reaction, arrhythmia","appendicitis, benign breast neoplasm, breast neoplasm, cervix disorder, chapped lips, chloasma, cyst, dyspareunia, ear infection, endometriosis","cervicitis, hypomenorrhoea, tearfulness","contact lens intolerance, device breakage, ectopic pregnancy, medical device complication, oligomenorrhoea, pregnancy, uterine enlargement","acute tonsillitis, endometritis, genital ulceration, smear cervix normal, streptococcal sepsis, uterine perforation, vaginal neoplasm"
linaclotide,"abdominal distension, abdominal pain, angiopathy, asthenia, blood bicarbonate decreased, decreased appetite, dehydration, dermatitis, diarrhoea, dizziness, dyspepsia, faecal incontinence",haematochezia,,defaecation urgency,
linagliptin,"anaphylactic shock, angioedema, arthralgia, back pain, blood triglycerides increased, bronchial hyperreactivity, constipation, cough, dermatitis, diabetes mellitus, diarrhoea, gastrointestinal disorder",,,,
lincomycin,"abdominal discomfort, abdominal pain, abscess, agranulocytosis, anal pruritus, anaphylactic shock, angioedema, anorectal discomfort, azotaemia, body temperature increased, colitis, dermatitis","aplastic anaemia, enterocolitis, peritonitis, serum sickness","megacolon, thrombocytopenic purpura",cardio-respiratory arrest,
linezolid,"abdominal pain, alanine aminotransferase increased, amylase increased, anaemia, anaphylactic shock, angioedema, anorectal disorder, apnoea, aspartate aminotransferase increased, asthenia, blood creatine phosphokinase increased, blood lactate dehydrogenase increased","biliary colic, blindness, clostridium difficile colitis, drug interaction, laboratory test abnormal, optic nerve disorder, peripheral vascular disorder, red man syndrome, tongue discolouration, vulvovaginal candidiasis","serotonin syndrome, skin candida, tooth discolouration",aplasia,catheter site phlebitis
liraglutide,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, anaphylactic shock, angioedema, asthenia, blood creatinine increased, bronchitis, cardiac disorder, constipation, decreased appetite",,pancreatitis necrotising,,papillary thyroid cancer
lisdexamfetamine,"abdominal pain upper, acute coronary syndrome, affect lability, aggression, agitation, anaphylactic shock, angioedema, anxiety, asthenia, blood pressure increased, body temperature increased, bruxism","logorrhoea, sudden death, ventricular hypertrophy",tourette's disorder,dermatillomania,
lithium,"abdominal discomfort, abdominal pain, agitation, albuminuria, alopecia, anaemia, angioedema, arrhythmia, arthralgia, asthenia, ataxia, blood thyroid stimulating hormone increased","benign intracranial hypertension, blindness, coma, diabetes insipidus, electrocardiogram change, epilepsy, exophthalmos, hyperparathyroidism, joint hyperextension, papilloedema","blood creatinine decreased, drug tolerance decreased, leukocytoclastic vasculitis, lip swelling, myasthenia gravis, nephrogenic diabetes insipidus, optic atrophy, toxicity to various agents",myxoedema,"brugada syndrome, congenital limb hyperextension, mental disorder due to a general medical condition"
lomustine,"alopecia, ataxia, azotaemia, body temperature increased, contusion, decreased appetite, disorientation, dysarthria, haemoglobin, haemorrhage, hepatotoxicity, infection","acute leukaemia, blindness","fibrosis, optic atrophy, pulmonary fibrosis",,"dysplasia, gastrointestinal toxicity, refractory cytopenia with unilineage dysplasia"
lorazepam,"aggression, agitation, agranulocytosis, alopecia, amnesia, anterograde amnesia, apnoea, application site pain, arrhythmia, asthenia, ataxia, atrioventricular block","acidosis, arterial spasm, brain oedema, coma, hypoventilation, inappropriate antidiuretic hormone secretion, obstructive airways disorder, paralysis, respiratory failure, sleep apnoea syndrome","neuroleptic malignant syndrome, respiratory arrest",disinhibition,
lovastatin,"abdominal discomfort, abdominal pain, alopecia, amnesia, anaphylactic shock, angioedema, anxiety, arthralgia, arthritis, asthenia, back pain, blood alkaline phosphatase increased","cognitive disorder, haemolytic anaemia, loss of libido, rhabdomyolysis","antinuclear antibody positive, drug reaction with eosinophilia and systemic symptoms, facial paresis, hepatic cancer, hepatic necrosis, hepatocellular carcinoma, iiird nerve paralysis, lenticular opacities","dermatomyositis, hepatitis chronic active, immune-mediated necrotising myopathy, lupus-like syndrome, peripheral nerve palsy, pregnancy",menarche
loxapine,"agitation, agranulocytosis, akathisia, akinesia, alopecia, amenorrhoea, angiopathy, asthenia, bronchospasm, cerebrovascular accident, chest discomfort, chest pain",tardive dyskinesia,"hyperpyrexia, neuroleptic malignant syndrome","masked facies, protrusion tongue",
lubiprostone,"abdominal discomfort, abdominal distension, abdominal pain, abdominal rigidity, alanine aminotransferase increased, anxiety, aspartate aminotransferase increased, asthenia, blood potassium decreased, chest discomfort, chest pain, cold sweat","abdominal tenderness, fibromyalgia, frequent bowel movements, functional gastrointestinal disorder",,defaecation urgency,faeces hard
macitentan,"anaemia, angiopathy, bronchitis, fluid retention, headache, hepatotoxicity, hypotension, infection, infestation, influenza, nasopharyngitis, nervous system disorder",,,,
mannitol,"abdominal pain upper, acne, angina pectoris, arthralgia, asthenia, back pain, blood alkaline phosphatase increased, body temperature increased, bronchitis, bronchopneumonia, bronchospasm, candida infection","acidosis, condition aggravated, nephrotic syndrome, obstructive airways disorder, pulmonary congestion, staphylococcal infection, venous thrombosis",,forced expiratory volume decreased,"bacterial disease carrier, fungal test positive, hernia pain, morbid thoughts, post-tussive vomiting, sputum discoloured"
maraviroc,"abdominal distension, abdominal pain, abdominal pain upper, acne, acute coronary syndrome, agranulocytosis, alanine aminotransferase increased, alopecia, altered state of consciousness, amnesia, anaemia, angina pectoris","acute sinusitis, angina unstable, appetite disorder, benign neoplasm of skin, cardiac failure acute, clostridium difficile colitis, coronary artery disease, cyst, drug eruption, epilepsy","coronary artery occlusion, diarrhoea haemorrhagic, endocarditis, oesophageal carcinoma, peripheral embolism, pneumonia bacterial, varicella","acquired immunodeficiency syndrome, autoimmune disorder, basedow's disease, bone cancer metastatic, eyelid ptosis, hodgkin's disease, hodgkin's disease lymphocyte depletion type stage unspecified, hodgkin's disease lymphocyte predominance type stage unspecified","abdominal neoplasm, anal cancer, anaplastic large-cell lymphoma, aortic arteriosclerosis, bile duct cancer, bronchitis bacterial, cholangiocarcinoma, chronic sinusitis"
mebendazole,"abdominal pain, agranulocytosis, angioedema, convulsion, dermatitis, gastrointestinal pain, hepatitis, hypersensitivity, menorrhagia, neutropenia, rash, urticaria",,,,
mebrofenin,"chills, dermatitis, nausea, rash, urticaria",,,,
medroxyprogesterone,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abscess, acne, acute coronary syndrome, acute respiratory distress syndrome, affect lability, agitation, alanine aminotransferase increased, alopecia","acute leukaemia, anaphylactoid reaction, benign breast neoplasm, benign intracranial hypertension, blindness, blood disorder, blood testosterone decreased, breast discharge, cerebral ischaemia, cervical dysplasia","abortion spontaneous, arterial thrombosis, breast swelling, chorea, congenital anomaly, developmental delay, endometrial cancer, foetor hepaticus","acute psychosis, anencephaly, anosmia, anovulatory cycle, blood oestrogen decreased, breast feeding, breast mass, cerebral thrombosis","abortion missed, adrenal disorder, attention deficit/hyperactivity disorder, benign hydatidiform mole, blighted ovum, cataract diabetic, cerebral venous thrombosis, congenital diaphragmatic hernia"
meloxicam,"abdominal discomfort, abdominal pain, abdominal pain upper, accident at home, acute coronary syndrome, affect lability, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia, anaemia, anaphylactic shock","anaphylactoid reaction, blood potassium increased, drug interaction, duodenal ulcer, ear disorder, gastrointestinal tract irritation, joint crepitation, meningitis, nephritis, red blood cell abnormality","creatinine renal clearance decreased, inner ear disorder, meningitis aseptic, type i hypersensitivity",renal function test abnormal,"ankylosing spondylitis, blood count abnormal, duodenal ulcer perforation, gastric ulcer perforation, joint effusion"
melphalan,"alopecia, amenorrhoea, anaemia, anaphylactic shock, arrhythmia, asthenia, atrial fibrillation, bladder pain, blood creatine phosphokinase increased, blood uric acid increased, bronchospasm, cardiac arrest","acute leukaemia, haemolytic anaemia, hypertonic bladder, liver disorder, muscle injury, rhabdomyolysis","arterial thrombosis, foetor hepaticus, leukaemia, pulmonary fibrosis, venoocclusive liver disease",infertility,"bladder irritation, muscle necrosis, radiation myelopathy, ureteric obstruction"
memantine,"abdominal pain, abscess, acute coronary syndrome, affect lability, aggression, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, altered state of consciousness, amnesia, anaemia","aortic valve stenosis, arrhythmia supraventricular, arteriosclerosis, benign breast neoplasm, cerebral infarction, change of bowel habit, cognitive disorder, coma, completed suicide, condition aggravated","breast cancer female, hepatitis cholestatic, lymphatic disorder, necrosis, neuroleptic malignant syndrome, pulse abnormal, reflexes abnormal","cardiac valve disease, ectropion, musculoskeletal disorder, pulse pressure decreased, renal function test abnormal","antidiuretic hormone abnormality, aortic valve incompetence, benign gastrointestinal neoplasm, blood antidiuretic hormone abnormal, diverticulum, diverticulum intestinal, hernia congenital"
meprobamate,"agitation, agranulocytosis, anaphylactic shock, angioedema, arrhythmia, asthenia, ataxia, body temperature increased, bronchospasm, chills, dermatitis, dermatitis bullous","anuria, aplastic anaemia, drug eruption, proctitis","hyperpyrexia, thrombocytopenic purpura",purpura non-thrombocytopenic,
meropenem,"abdominal distension, abdominal pain, acute coronary syndrome, agitation, agranulocytosis, alanine aminotransferase increased, anaemia, anaphylactic shock, angioedema, anxiety, apnoea, application site pain","haemolytic anaemia, peripheral vascular disorder, respiratory failure, vulvovaginal candidiasis, vulvovaginal mycotic infection",,"central nervous system infection, peritoneal haemorrhage",prothrombin time abnormal
mesna,"abdominal pain, abdominal pain upper, agranulocytosis, alopecia, anaemia, anxiety, arrhythmia, arthralgia, asthenia, back pain, body temperature increased, chest pain",,electrocardiogram st segment elevation,,
metaxalone,"abdominal discomfort, anaphylactic shock, dermatitis, dizziness, headache, hypersensitivity, irritability, jaundice, leukopenia, nausea, nervousness, pruritus","anaphylactoid reaction, gastrointestinal tract irritation, haemolytic anaemia",,,
metformin,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, anaemia megaloblastic, angina pectoris, angiopathy, asthenia, azotaemia, body temperature decreased, bradycardia, breast disorder","abnormal faeces, acidosis, angina unstable, blood disorder, gastrointestinal tract irritation, muscle strain, tonsillitis, white blood cell count increased",ketonuria,acute prerenal failure,acetonaemia
methadone,"abdominal pain, agitation, amenorrhoea, anaphylactic shock, anxiety, arrhythmia, asthenia, body temperature decreased, body temperature increased, bradycardia, cardiac arrest, cardiac failure","blood testosterone decreased, drug interaction, electrocardiogram t wave inversion, head injury, torsade de pointes","hypogonadism, miosis, respiratory arrest",muscle mass,"cardiovascular insufficiency, chronic hepatitis, haemorrhagic urticaria"
methazolamide,"agranulocytosis, anaphylactic shock, asthenia, body temperature increased, confusional state, convulsion, decreased appetite, dermatitis, diarrhoea, discomfort, dysgeusia, dyspepsia","aplastic anaemia, blood disorder, haemolytic anaemia, myopia","crystalluria, hepatic necrosis, thrombocytopenic purpura",paralysis flaccid,
methimazole,"ageusia, agranulocytosis, alopecia, arthralgia, body temperature increased, dermatitis, dyspepsia, headache, hepatitis, jaundice, leukopenia, lymphadenopathy","aplastic anaemia, nephritis, pigmentation disorder",,"hypoglycaemic coma, lupus-like syndrome",insulin autoimmune syndrome
methocarbamol,"amnesia, anaphylactic shock, angioedema, body temperature increased, bradycardia, confusional state, conjunctivitis, convulsion, coordination abnormal, dermatitis, diplopia, dizziness",,,,
methotrexate,"abdominal discomfort, abdominal pain, abscess, agranulocytosis, alopecia, alveolitis, anaemia, anaemia megaloblastic, anaphylactic shock, angiopathy, aphasia, apnoea","alveolitis allergic, anaphylactoid reaction, anuria, aplastic anaemia, blood albumin decreased, cognitive disorder, coma, cryptococcosis, cyst, diplegia","arachnoiditis, arterial thrombosis, blindness transient, cardiac tamponade, fibrosis, guillain-barre syndrome, hypervigilance, hypogammaglobulinaemia","cerebral thrombosis, cranial nerve paralysis, foetal death, hepatic fibrosis, infertility, lymphoproliferative disorder, malabsorption, pneumocystis jirovecii pneumonia","burkitt's lymphoma, carcinogenicity, chronic hepatitis, gastrointestinal toxicity, gastrointestinal ulcer haemorrhage, hepatic atrophy, herpes simplex hepatitis, hidradenitis"
methsuximide,"abdominal pain, aggression, ataxia, confusional state, constipation, decreased appetite, dermatitis, diarrhoea, dizziness, eosinophilia, erythema multiforme, feeling abnormal","hallucination, auditory","monocytosis, suicidal behaviour",,
methyldopa,"abdominal distension, agranulocytosis, amenorrhoea, angina pectoris, angiopathy, arthralgia, asthenia, body temperature increased, bradycardia, breast disorder, breast enlargement, cardiac disorder","haemolytic anaemia, lichenoid keratosis, liver disorder, myocarditis, pericarditis","antinuclear antibody positive, foetor hepaticus, hyperprolactinaemia, sialoadenitis","cerebrovascular insufficiency, lupus-like syndrome","carotid sinus syndrome, coombs test positive, paradoxical pressor response"
methylphenidate,"abdominal discomfort, abdominal pain, abdominal pain upper, abnormal behaviour, abnormal dreams, abscess, accommodation disorder, acute coronary syndrome, affect lability, aggression, agitation, akathisia","adverse reaction, aplastic anaemia, blood disorder, coma, completed suicide, corneal lesion, drug eruption, drug interaction, ear disorder, ear infection","coma hepatic, drug dependence, gastrointestinal obstruction, hallucination, tactile, hyperpyrexia, hypervigilance, lip swelling, neuroleptic malignant syndrome","auricular swelling, cardiac death, cerebral arteritis, drug effect decreased, reversible ischaemic neurological deficit, therapeutic response decreased, white blood cell count abnormal","attention deficit/hyperactivity disorder, benign neoplasm, overdose, stereotypy, sympathomimetic effect, tic, weight gain poor"
methyltestosterone,"alopecia, amenorrhoea, anaphylactic shock, angiopathy, anxiety, azoospermia, blood cholesterol increased, coagulopathy, disturbance in sexual arousal, embolism venous, gynaecomastia, haemoglobin","anaphylactoid reaction, hirsutism","enlarged clitoris, peliosis hepatis",,
metoclopramide,"agitation, agranulocytosis, akathisia, akinesia, altered state of consciousness, amenorrhoea, angioedema, anxiety, asthenia, asthma, atrial fibrillation, atrioventricular block","autonomic nervous system imbalance, blood disorder, completed suicide, laryngeal oedema, laryngospasm, priapism, respiratory failure, stridor, tardive dyskinesia","hyperprolactinaemia, hyperpyrexia, methaemoglobinaemia, neuroleptic malignant syndrome, obsessive rumination, obsessive thoughts, opisthotonus, porphyrin metabolism disorder","cardio-respiratory arrest, depression suicidal, grimacing, masked facies, protrusion tongue, sinus arrest, sulphaemoglobinaemia, tetanus",upper airway obstruction
metyrapone,"abdominal discomfort, abdominal pain, alopecia, angiopathy, dermatitis atopic, dizziness, endocrine disorder, gastrointestinal disorder, gastrointestinal pain, headache, hypertension, hypotension","adrenal insufficiency, hirsutism",,,
mifepristone,"abdominal pain, angioedema, angiopathy, anxiety, arthralgia, asthenia, back pain, blood potassium decreased, blood triglycerides increased, body temperature increased, breast disorder, chills","adrenal insufficiency, pelvic inflammatory disease","endometrial cancer, thyroid function test abnormal, toxic shock syndrome",uterine rupture,"adrenal gland cancer, ectopic acth syndrome, endometritis, multiparous, uterine contractions during pregnancy"
miglitol,"abdominal distension, abdominal pain, constipation, dermatitis, diarrhoea, flatulence, gastrointestinal disorder, gastrointestinal pain, ileus, ileus paralytic, intestinal obstruction, intestinal perforation",subileus,intussusception,"intestinal haemorrhage, pneumatosis intestinalis, pneumoperitoneum, volvulus",
miglustat,"abdominal distension, abdominal pain, abdominal pain upper, amnesia, asthenia, ataxia, back pain, chills, coagulopathy, connective tissue disorder, constipation, convulsion","bladder cancer, cerebellar syndrome, cognitive disorder, congenital eye disorder, sensation of heaviness",,"administration site reaction, musculoskeletal disorder","monoclonal gammopathy, nerve conduction studies abnormal"
minocycline,"abdominal pain, agranulocytosis, alopecia, anal pruritus, anaphylactic shock, angioedema, anorectal discomfort, arthralgia, arthritis, aspartate aminotransferase increased, asthenia, asthma","anaphylactoid reaction, benign intracranial hypertension, drug eruption, enterocolitis, haemolytic anaemia, hepatic steatosis, myocarditis, nephritis, onycholysis, pericarditis","acute hepatic failure, antinuclear antibody positive, balanitis, drug reaction with eosinophilia and systemic symptoms, henoch-schonlein purpura, leukoplakia oral, nail discolouration, systemic lupus erythematosus","autoimmune hepatitis, fontanelle bulging, lupus-like syndrome",tooth hypoplasia
mirabegron,"abdominal distension, abdominal pain, alanine aminotransferase increased, arthralgia, aspartate aminotransferase increased, asthenia, atrial fibrillation, back pain, bladder pain, blood lactate dehydrogenase increased, blood pressure increased, breast cancer","lung neoplasm malignant, prostate cancer, vulvovaginal pruritus",leukocytoclastic vasculitis,,"lip oedema, lipoedema"
