generic_name_clean,top_label_confirmed_side_effects,side_effect_count_label_confirmed
mitomycin,"alopecia, anaemia, asthenia, body temperature increased, burning sensation, cough, decreased appetite, dermatitis, diarrhoea, discomfort, dizziness, dyspnoea, erythema, extravasation, fatigue, feeling abnormal, headache, hypertension, ill-defined disorder, injection site reaction, leukopenia, malaise, nausea, oedema, pain, pancytopenia, rash, renal failure, renal impairment, somnolence, stomatitis, thrombocytopenia, vision blurred, vomiting, acute respiratory distress syndrome, cardiac failure congestive, cardiotoxicity, confusional state, haematemesis, loss of consciousness, lung infiltration, nephropathy toxic, pulmonary oedema, pulmonary toxicity, renal failure chronic, shock, syncope, thrombophlebitis, ulcer, haemolytic uraemic syndrome, microangiopathic haemolytic anaemia, necrosis, injection site cellulitis, metastatic neoplasm, aspiration, bladder fibrosis, bone marrow toxicity, fraction of inspired oxygen",58
mitotane,"anaemia, angiopathy, asthenia, ataxia, blood triglycerides increased, body temperature increased, breast disorder, decreased appetite, dermatitis, dermatitis atopic, diarrhoea, diplopia, dizziness, dysgeusia, dyskinesia, dyspepsia, epigastric discomfort, eye disorder, feeling abnormal, flushing, gastrointestinal disorder, haematuria, headache, hepatic enzyme increased, hepatobiliary disease, hypercholesterolaemia, hypersensitivity, hypertension, hypertriglyceridaemia, hypotension, hypothyroidism, infection, infestation, irritability, lethargy, malnutrition, mental disability, mental disorder, mucosal inflammation, muscular weakness, nausea, nervous system disorder, neutropenia, orthostatic hypotension, osteoarthritis, pain, paraesthesia, protein urine present, proteinuria, rash, salivary hypersecretion, skin disorder, somnolence, thrombocytopenia, tremor, urethral disorder, urinary tract disorder, vertigo, vision blurred, visual impairment, vomiting, aggression, amnesia, balance disorder, blood cholesterol increased, confusional state, connective tissue disorder, dysarthria, encephalopathy, endocrine disorder, fungal infection, growth retardation, gynaecomastia, hepatitis, hepatocellular injury, injury, liver injury, mental retardation, movement disorder, neoplasm, polyneuropathy, shock, speech disorder, albuminuria, cataract, adrenal insufficiency, bleeding time prolonged, maculopathy, retinal disorder, hepatitis cholestatic, secondary adrenocortical insufficiency, cystitis haemorrhagic, hyperpyrexia, lenticular opacities, autoimmune hepatitis, brain injury, hypouricaemia, orthostatic hypertension, retinal toxicity, blood uric acid decreased, gastrointestinal toxicity, mineralocorticoid deficiency, skin toxicity",103
mitoxantrone,"abdominal pain, abdominal pain upper, alanine aminotransferase increased, alopecia, amenorrhoea, anaemia, anxiety, arthralgia, aspartate aminotransferase increased, asthenia, back pain, blood bilirubin increased, blood creatinine increased, blood uric acid increased, body temperature increased, bone pain, bradycardia, chest pain, chills, chromaturia, conjunctivitis, constipation, contusion, convulsion, cough, decreased appetite, dehydration, dermatitis, diarrhoea, discomfort, dysgeusia, dyspepsia, dyspnoea, ecchymosis, erectile dysfunction, erythema, extravasation, fatigue, febrile neutropenia, feeling abnormal, gamma-glutamyltransferase increased, gastrointestinal haemorrhage, gastrointestinal pain, haematuria, haemoglobin, haemoglobin decreased, haemorrhage, headache, hepatic enzyme increased, hyperglycaemia, hyperhidrosis, hyperkalaemia, hypersensitivity, hypertension, hyperuricaemia, hypocalcaemia, hypokalaemia, hyponatraemia, hypotension, ill-defined disorder, infection, jaundice, leukopenia, malaise, mucosal inflammation, musculoskeletal discomfort, myalgia, nausea, neutropenia, oedema, pain, pancytopenia, paraesthesia, petechiae, pharyngitis, platelet count decreased, pneumonia, protein urine present, proteinuria, rash, renal failure, rhinitis, skin disorder, somnolence, stomatitis, swelling, tachycardia, thrombocytopenia, upper respiratory tract infection, urinary tract infection, urticaria, viral infection, vision blurred, vomiting, weight decreased, weight increased, acute coronary syndrome, affective disorder, agranulocytosis, anaphylactic shock, arrhythmia, blood glucose increased, blood potassium decreased, blood urea increased, cardiac failure, cardiac failure congestive, cardiomyopathy, cardiotoxicity, confusional state, ejection fraction decreased, fungal infection, haemorrhage intracranial, hepatitis, hyperphosphataemia, interstitial lung disease, local reaction, menorrhagia, menstrual disorder, myocardial infarction, myocardial ischaemia, nephropathy toxic, non-hodgkin's lymphoma, phlebitis, renal failure acute, sepsis, shock, sinusitis, skin infection, tumour lysis syndrome, ulcer, urine abnormality, urine analysis abnormal, white blood cell count decreased, electrocardiogram abnormal, fungal skin infection, anaphylactoid reaction, enteritis, ischaemia, myelodysplastic syndrome, nail pigmentation, onycholysis, blood creatinine abnormal, blood urea abnormal, breast cancer stage iv, foot and mouth disease, lymphocyte count abnormal, sinus bradycardia, sudden death, necrosis, acute promyelocytic leukaemia, infertility, tonsillitis, urine output, endometritis, metastasis, pathogen resistance, platelet count abnormal, ureteric obstruction",158
modafinil,"abdominal pain, abdominal pain upper, affect lability, agitation, anaemia, angiopathy, anxiety, arthralgia, arthritis, aspartate aminotransferase increased, asthenia, ataxia, back pain, blood pressure increased, body temperature decreased, body temperature increased, bradycardia, bronchitis, cardiac disorder, chest pain, chills, conjunctivitis, constipation, convulsion, cough, decreased appetite, depression, dermatitis, diarrhoea, discomfort, disturbance in attention, dizziness, dry mouth, dry skin, dysgeusia, dyskinesia, dyspepsia, dyspnoea, ecchymosis, eczema, epistaxis, erectile dysfunction, fatigue, feeling abnormal, flatulence, gamma-glutamyltransferase increased, gastrointestinal disorder, gastrointestinal pain, haematuria, hallucination, headache, hepatic enzyme increased, herpes simplex, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hypotension, hypothermia, ill-defined disorder, increased appetite, infection, influenza, influenza like illness, insomnia, irritability, malaise, malnutrition, mediastinal disorder, mental disability, mental disorder, migraine, mood swings, mouth ulceration, muscle spasms, muscular weakness, musculoskeletal discomfort, myalgia, nausea, nervous system disorder, nervousness, oedema, oedema peripheral, osteoarthritis, pain, palpitations, pancytopenia, paraesthesia, pharyngitis, photosensitivity reaction, pneumonia, pruritus, rash, rhinitis, skin disorder, somnolence, stomatitis, tachycardia, tension, thirst, tremor, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, vasodilation procedure, vertigo, viral infection, visual impairment, vomiting, weight decreased, weight increased, aggression, agranulocytosis, amnesia, anaphylactic shock, angioedema, arrhythmia, arthropathy, asthma, bladder pain, cardiac arrest, confusional state, connective tissue disorder, cystitis, cystitis noninfective, depressed mood, dermatitis contact, disturbance in sexual arousal, dysmenorrhoea, ear pain, ejaculation disorder, eosinophilia, erythema multiforme, eye pain, gastroenteritis, gingivitis, hearing impaired, hepatic function abnormal, hyperkinesia, hypertonia, immune system disorder, injury, leukocytosis, libido decreased, loss of consciousness, lung disorder, mania, muscle twitching, musculoskeletal stiffness, myocardial ischaemia, neck pain, pain in jaw, personality disorder, pollakiuria, polyuria, psoriasis, psychotic disorder, shock, sinusitis, stevens-johnson syndrome, suicidal ideation, syncope, thinking abnormal, tooth abscess, tooth disorder, toxic epidermal necrolysis, urinary retention, urine abnormality, urine analysis abnormal, urine output increased, ventricular extrasystoles, albuminuria, amblyopia, delusion, electrocardiogram abnormal, rhinitis seasonal, seasonal allergy, suicide attempt, anaphylactoid reaction, condition aggravated, drug eruption, ear disorder, hyperacusis, nuchal rigidity, tardive dyskinesia, urine odour abnormal, obesity, pyuria, cataplexy, psychiatric symptom",191
mometasone,"abdominal pain, acne, arthralgia, asthenia, back pain, body temperature increased, bronchitis, candida infection, chest pain, conjunctivitis, contusion, cough, decreased appetite, dermatitis, dermatitis acneiform, diarrhoea, dry mouth, dry skin, dysgeusia, dyspepsia, dysphonia, dyspnoea, epistaxis, erythema, fatigue, flatulence, gastrointestinal pain, haemoglobin, haemoptysis, haemorrhage, headache, hypersensitivity, infection, influenza, influenza like illness, insomnia, mediastinal disorder, musculoskeletal discomfort, musculoskeletal pain, myalgia, nasopharyngitis, nausea, oral candidiasis, pain, paraesthesia, pharyngitis, pruritus, rash, rhinitis, sinus headache, skin discolouration, sneezing, upper respiratory tract infection, urinary tract infection, viral infection, vomiting, abscess, anaphylactic shock, angioedema, asthma, bacterial infection, bronchospasm, dermatitis contact, dry throat, dysmenorrhoea, ear pain, endocrine disorder, folliculitis, gastroenteritis, growth retardation, hypertrichosis, immune system disorder, impaired healing, injury, laceration, menstrual disorder, nasal congestion, nasal discomfort, otitis media, psoriasis, respiratory tract infection, rosacea, sensitisation, sinus congestion, sinusitis, ulcer, vaginal discharge, wheezing, cataract, furuncle, glaucoma, rhinitis seasonal, seasonal allergy, skin atrophy, colitis ulcerative, condition aggravated, leukoderma, proctocolitis, pustular psoriasis, rhinitis allergic, skin striae, cataract subcapsular, endometriosis, large intestine polyp, miliaria, secondary adrenocortical insufficiency, type i hypersensitivity, nasal septum perforation, hyperadrenocorticism, nasal ulcer, telangiectasia, type iv hypersensitivity reaction, arthropod bite, skin bacterial infection, skin depigmentation",115
montelukast,"abdominal pain, agitation, alanine aminotransferase increased, anxiety, arthralgia, aspartate aminotransferase increased, asthenia, body temperature increased, bone disorder, bronchitis, cardiac disorder, conjunctivitis, contusion, convulsion, cough, dermatitis, dermatitis atopic, diarrhoea, disturbance in attention, dizziness, dyspepsia, eczema, epistaxis, fatigue, gastrointestinal disorder, gastrointestinal pain, hallucination, headache, hepatobiliary disease, hypersensitivity, infection, infestation, influenza, insomnia, irritability, jaundice, mediastinal disorder, mental disorder, muscle spasms, musculoskeletal discomfort, myalgia, nasopharyngitis, nausea, nervous system disorder, neuropathy peripheral, oedema, pain, palpitations, paraesthesia, pharyngitis, pneumonia, pruritus, rash, rhinitis, sinus headache, skin disorder, somnolence, thirst, thrombocytopenia, tremor, upper respiratory tract infection, urethral disorder, urinary tract disorder, urticaria, viral infection, vomiting, aggression, anaphylactic shock, angioedema, asthma, connective tissue disorder, disorientation, ear pain, enuresis, eosinophilia, erythema multiforme, erythema nodosum, gastroenteritis, hepatitis, hepatocellular injury, hyperkinesia, hypoaesthesia, immune system disorder, injury, liver injury, memory impairment, otitis media, pancreatitis, rhinorrhoea, sinusitis, skin infection, sleep disorder, somnambulism, stevens-johnson syndrome, tooth infection, toxic epidermal necrolysis, vasculitis, wheezing, hallucination, visual, hostility, laryngitis, suicide attempt, completed suicide, ear infection, haemorrhagic disorder, liver disorder, myopia, traumatic liver injury, foetor hepaticus, hepatitis cholestatic, leukocytoclastic vasculitis, pyuria, suicidal behaviour, varicella, pulmonary eosinophilia, allergic granulomatous angiitis, hepatic infiltration eosinophilic, tonsillitis, vasculitic rash, abdominal injury, tracheobronchitis",121
morphine,"abdominal distension, abdominal pain, abdominal pain upper, affect lability, agitation, amenorrhoea, anaemia, angiopathy, anxiety, arthralgia, asthenia, ataxia, back pain, blister, body temperature increased, bone pain, bradycardia, breast disorder, chest pain, chills, conjunctivitis, constipation, convulsion, cough, decreased appetite, dehydration, dermatitis, dermatitis bullous, diarrhoea, diplopia, discomfort, dizziness, dry mouth, dry skin, dysgeusia, dyskinesia, dyspepsia, dysphagia, dyspnoea, dysuria, erectile dysfunction, erythema, eye disorder, fatigue, feeling abnormal, flatulence, flushing, gait disturbance, gastrointestinal disorder, gastrointestinal pain, hallucination, headache, hepatobiliary disease, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hypokalaemia, hyponatraemia, hypotension, hypotonia, ileus, ill-defined disorder, infection, influenza, injection site pain, insomnia, intestinal obstruction, lethargy, leukopenia, liver function test abnormal, malaise, malnutrition, mediastinal disorder, menstruation irregular, mental disability, mental disorder, mood swings, muscle rigidity, muscle spasms, musculoskeletal discomfort, myoclonus, nasopharyngitis, nausea, nervous system disorder, nervousness, oedema, oedema peripheral, orthostatic hypotension, osteoarthritis, pain, palpitations, paraesthesia, piloerection, pruritus, rash, renal failure, renal impairment, rhinitis, skin disorder, sneezing, somnolence, stomatitis, swelling, tachycardia, tenderness, tension, thirst, thrombocytopenia, tremor, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, vasodilation procedure, vertigo, vision blurred, visual impairment, vomiting, weight decreased, abnormal dreams, amnesia, anaphylactic shock, anorectal disorder, apathy, apnoea, atelectasis, atrial fibrillation, balance disorder, bladder pain, bladder spasm, bronchospasm, cachexia, cardiac arrest, cardiovascular disorder, chest discomfort, compulsions, confusional state, connective tissue disorder, cyanosis, delirium, depressed level of consciousness, dermatitis contact, disorientation, disturbance in sexual arousal, drug hypersensitivity, drug withdrawal syndrome, dysarthria, dysphoria, ejaculation disorder, eosinophilia, euphoric mood, eye pain, faecalith, faecaloma, flat affect, gastroenteritis, gastrooesophageal reflux disease, gynaecomastia, haematocrit decreased, hepatitis, hiccups, hyperaesthesia, hyperkinesia, hypertonia, hypoaesthesia, hypoxia, ileus paralytic, induration, injury, lacrimation increased, libido decreased, loss of consciousness, lung disorder, muscle twitching, mydriasis, nodule, nystagmus, oliguria, pallor, phlebitis, pneumothorax, polyuria, psychotic disorder, pulmonary embolism, pulmonary function test decreased, pulmonary oedema, respiratory depression, rhinorrhoea, sepsis, shock, sleep disorder, syncope, thinking abnormal, ulcer, urinary retention, ventricular tachycardia, wheezing, withdrawal syndrome, yawning, amblyopia, cold sweat, coordination abnormal, hallucination, visual, intracranial pressure increased, muscle contractions involuntary, neuralgia, sticky skin, stupor, supraventricular tachycardia, urinary hesitation, alcohol abuse, anaphylactoid reaction, biliary colic, coma, drug interaction, haemolytic anaemia, head injury, heart rate irregular, hypersexuality, impaired gastric emptying, inappropriate antidiuretic hormone secretion, laryngospasm, loss of libido, oxygen saturation decreased, presyncope, rhabdomyolysis, substance abuse, alcoholism, cough decreased, drug abuse, drug dependence, drug tolerance, gastric atony, hyperpathia, hypogonadism, hypoventilation, miosis, peroneal nerve palsy, respiration abnormal, respiratory disorder, respiratory failure, respiratory arrest, breast feeding, carbon dioxide increased, dependence, hypercapnia, non-cardiogenic pulmonary oedema, spontaneous penile erection, accidental overdose, addison's disease, brain neoplasm, breakthrough pain, cardiovascular insufficiency, cheyne-stokes respiration, decubitus ulcer, disease progression, genital swelling, haemorrhagic urticaria, hypovolaemic shock, post herpetic neuralgia, prolonged labour, sedation, stereotypy, ureteral spasm, urethral stenosis",266
moxifloxacin,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, affect lability, agitation, alanine aminotransferase increased, amylase increased, anaemia, angiopathy, anxiety, arthralgia, arthritis, aspartate aminotransferase increased, asthenia, back pain, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, blood pressure increased, blood triglycerides increased, blood uric acid increased, body temperature increased, bone disorder, bradycardia, breast disorder, candida infection, cardiac disorder, cellulitis, chest pain, chills, colitis, conjunctivitis, constipation, convulsion, cough, decreased appetite, dehydration, depression, dermatitis, dermatitis atopic, dermatitis bullous, diabetes mellitus, diarrhoea, diplopia, discomfort, dizziness, dry mouth, dry skin, dysaesthesia, dysgeusia, dyspepsia, dysphagia, dyspnoea, dysuria, eczema, endophthalmitis, epistaxis, eructation, erythema, eye disorder, eye irritation, fatigue, feeling abnormal, flatulence, gait disturbance, gamma-glutamyltransferase increased, gastritis, gastrointestinal disorder, gastrointestinal haemorrhage, gastrointestinal pain, haematuria, haemoglobin, haemoglobin decreased, haemoptysis, haemorrhage, hallucination, headache, hepatic enzyme increased, hepatobiliary disease, herpes simplex, hyperbilirubinaemia, hypercholesterolaemia, hyperglycaemia, hyperhidrosis, hyperlipidaemia, hypersensitivity, hypertension, hyperuricaemia, hypoglycaemia, hypokalaemia, hypophosphataemia, hypotension, hypotonia, ill-defined disorder, increased appetite, infestation, inflammation, injection site inflammation, injection site pain, injection site reaction, insomnia, jaundice, lethargy, leukopenia, lipase increased, liver function test abnormal, malaise, malnutrition, mediastinal disorder, mental disability, mental disorder, migraine, mood swings, mouth ulceration, muscle relaxant therapy, muscle spasms, muscular weakness, musculoskeletal discomfort, musculoskeletal pain, myalgia, nausea, nervous system disorder, nervousness, neuropathy peripheral, neutropenia, ocular hyperaemia, oedema, oedema peripheral, oral candidiasis, orthostatic hypotension, osteoarthritis, pain, pain in extremity, palpitations, pancytopenia, paraesthesia, pharyngitis, photophobia, photosensitivity reaction, pneumonia, pruritus, purpura, rash, renal failure, renal impairment, rhinitis, sensation of foreign body, skin disorder, skin ulcer, somnolence, stomatitis, tachycardia, tension, thirst, thrombocytopenia, tremor, urethral disorder, urinary tract disorder, urinary tract infection, urticaria, vasodilation procedure, vertigo, vision blurred, visual impairment, vomiting, weight increased, abnormal dreams, activated partial thromboplastin time prolonged, acute coronary syndrome, ageusia, agranulocytosis, amnesia, anaphylactic shock, angina pectoris, angioedema, aphasia, aphthous stomatitis, apnoea, arrhythmia, arthropathy, asthma, atrial fibrillation, atrioventricular block first degree, bladder pain, blood glucose increased, blood lactate dehydrogenase increased, blood urea increased, bronchospasm, cachexia, cardiac arrest, cardiac failure, cardiac failure congestive, cardiovascular disorder, cheilitis, chest discomfort, cholangitis, coagulopathy, confusional state, conjunctival haemorrhage, connective tissue disorder, corneal deposits, cystitis, cystitis noninfective, deafness, depersonalisation, disorientation, dry eye, ear pain, electrocardiogram qt prolonged, eosinophilia, erythema multiforme, euphoric mood, eye pain, eye pruritus, eyelid oedema, face oedema, fungal infection, galactorrhoea, gastroenteritis, gastrooesophageal reflux disease, gingivitis, glossitis, gout, haematocrit decreased, hearing impaired, hepatic failure, hepatic function abnormal, hepatitis, hepatocellular injury, hiccups, hyperaesthesia, hyperkinesia, hypertonia, hypoaesthesia, hypochromic anaemia, hypoproteinaemia, immune system disorder, injection site swelling, injury, jaundice cholestatic, keratitis, lacrimation increased, laryngeal pain, leukocytosis, liver injury, loss of consciousness, lung disorder, melaena, menstrual disorder, multi-organ failure, muscle twitching, musculoskeletal chest pain, myocardial infarction, myocardial ischaemia, neoplasm, night sweats, ocular discomfort, oesophagitis, oral fungal infection, otitis media, pancreatitis, parosmia, pelvic pain, personality disorder, phlebitis, pleural effusion, pollakiuria, polyneuropathy, polyuria, prothrombin level increased, pseudomembranous colitis, psoriasis, psychotic disorder, rash maculo-papular, rash pustular, renal failure acute, sepsis, shock, sinusitis, sleep disorder, speech disorder, stevens-johnson syndrome, suicidal ideation, syncope, thinking abnormal, thrombocytosis, thrombophlebitis, tinnitus, toxic epidermal necrolysis, transaminases increased, urinary retention, urine abnormality, urine analysis abnormal, urine output increased, vaginal discharge, vaginal infection, vaginal inflammation, ventricular extrasystoles, ventricular fibrillation, ventricular tachycardia, visual acuity reduced, wheezing, albuminuria, amblyopia, cerebrovascular accident, coordination abnormal, electrocardiogram abnormal, fungal skin infection, hyperventilation, lymphocytosis, salivary gland enlargement, suicide attempt, supraventricular tachycardia, tendonitis, abnormal sensation in eye, allergic oedema, anaphylactoid reaction, arrhythmia supraventricular, atrial flutter, cerebral infarction, clostridium difficile colitis, coma, corneal epithelium defect, corneal infiltrates, drug ineffective, eosinophil count increased, facial pain, grand mal convulsion, hernia, hyperacusis, injection site hypersensitivity, international normalised ratio abnormal, international normalised ratio increased, laboratory test abnormal, nephropathy, panophthalmitis, peripheral vascular disorder, peritonitis, red blood cell sedimentation rate increased, renal pain, superinfection, tachyarrhythmia, tendon rupture, tongue discolouration, tongue disorder, tongue oedema, torsade de pointes, tubulointerstitial nephritis, vestibular disorder, vital dye staining cornea present, vulvovaginal candidiasis, vulvovaginal mycotic infection, vulvovaginal pruritus, white blood cell count increased, balanitis, blindness, enzyme abnormality, gastric ph decreased, gastrointestinal candidiasis, hepatitis cholestatic, hepatitis fulminant, hyperchlorhydria, hypomenorrhoea, immunoglobulins increased, intentional self-injury, laryngeal oedema, leukocytoclastic vasculitis, lymphangitis, monocytosis, platelet disorder, pyuria, salpingitis, self injurious behaviour, tendon disorder, tension headache, vascular headache, acute yellow liver atrophy, alveolitis allergic, myasthenia gravis, anosmia, drug level increased, infusion site extravasation, prothrombin time shortened, vulvovaginitis, adverse reaction, blood thromboplastin decreased, deafness permanent, fluid intake reduced, international normalised ratio decreased, oral infection, pco2, rhinitis atrophic",393
nabilone,"abdominal pain, affect lability, agitation, akathisia, anaemia, anxiety, arthralgia, asthenia, ataxia, back pain, body temperature decreased, body temperature increased, chest pain, chills, constipation, convulsion, cough, decreased appetite, depression, dermatitis, diarrhoea, discomfort, disturbance in attention, dizziness, dry mouth, dyspepsia, dyspnoea, epistaxis, eye disorder, eye irritation, fatigue, feeling abnormal, flushing, gastritis, gastrointestinal pain, hallucination, headache, hot flush, hyperhidrosis, hypersensitivity, hypertension, hypotension, hypothermia, hypotonia, ill-defined disorder, increased appetite, infection, insomnia, irritability, leukopenia, malaise, menopausal symptoms, mental disability, mood swings, muscle relaxant therapy, musculoskeletal discomfort, myalgia, nausea, nervousness, orthostatic hypotension, pain, palpitations, paraesthesia, pharyngitis, photophobia, photosensitivity reaction, pruritus, rash, scotoma, sinus headache, somnolence, stomatitis, tachycardia, tension, thirst, tremor, vertigo, vision blurred, visual impairment, vomiting, abnormal dreams, apathy, aphthous stomatitis, arrhythmia, bacterial infection, confusional state, depersonalisation, depressed level of consciousness, disorientation, dizziness postural, dry eye, dry throat, dysphoria, euphoric mood, face oedema, flat affect, hyperkinesia, hypoaesthesia, loss of consciousness, memory impairment, muscle twitching, mydriasis, nasal congestion, nasal dryness, neck pain, nightmare, paraesthesia oral, paranoia, pollakiuria, psychotic disorder, pulmonary function test decreased, respiratory depression, shock, sleep disorder, speech disorder, syncope, thinking abnormal, tinnitus, urinary retention, wheezing, amblyopia, cerebrovascular accident, coordination abnormal, emotional disorder, sensory loss, stupor, coma, drug interaction, eye swelling, eyelid disorder, tongue disorder, tongue oedema, dissociation, illusion, phobia, panic disorder, psychiatric symptom, anhidrosis",138
nabumetone,"abdominal pain, acne, agitation, alopecia, anaemia, anxiety, asthenia, blood uric acid increased, body temperature increased, chills, constipation, cough, decreased appetite, depression, dermatitis, dermatitis bullous, diarrhoea, discomfort, dizziness, dry mouth, dyspepsia, dysphagia, dyspnoea, dysuria, erectile dysfunction, eructation, fatigue, feeling abnormal, flatulence, gastritis, gastrointestinal haemorrhage, gastrointestinal pain, haematuria, haemoglobin, haemorrhage, headache, hyperglycaemia, hyperhidrosis, hypersensitivity, hypertension, hyperuricaemia, hypokalaemia, ill-defined disorder, increased appetite, insomnia, jaundice, leukopenia, liver function test abnormal, malaise, nausea, nervousness, oedema, palpitations, paraesthesia, photosensitivity reaction, pneumonia, pruritus, rash, renal failure, somnolence, stomatitis, tension, thrombocytopenia, tremor, urticaria, vertigo, visual impairment, vomiting, weight decreased, weight increased, acute coronary syndrome, agranulocytosis, anaphylactic shock, angina pectoris, angioedema, arrhythmia, asthma, azotaemia, confusional state, erythema multiforme, gastric ulcer, gastroenteritis, gingivitis, glossitis, hepatic failure, interstitial lung disease, jaundice cholestatic, loss of consciousness, melaena, myocardial infarction, nightmare, pancreatitis, peptic ulcer, rectal haemorrhage, shock, stevens-johnson syndrome, syncope, thrombophlebitis, tinnitus, toxic epidermal necrolysis, vaginal haemorrhage, vasculitis, albuminuria, nephrolithiasis, anaphylactoid reaction, aplastic anaemia, duodenal ulcer, duodenitis, nephrotic syndrome, occult blood positive, tubulointerstitial nephritis, congenital anomaly, developmental delay, pseudoporphyria, alveolitis allergic, eosinophilic pneumonia, nephritic syndrome",117
nafcillin,"abdominal discomfort, abdominal pain, arthralgia, aspartate aminotransferase increased, body temperature increased, dermatitis, diarrhoea, discomfort, extravasation, feeling abnormal, gastrointestinal disorder, gastrointestinal pain, haematuria, hypersensitivity, hypotension, ill-defined disorder, inflammation, liver function test abnormal, malaise, musculoskeletal discomfort, myalgia, nausea, neutropenia, pain, pancytopenia, protein urine present, proteinuria, pruritus, rash, renal failure, renal impairment, skin exfoliation, stomatitis, swelling, urticaria, vomiting, agranulocytosis, anaphylactic shock, angioedema, bronchospasm, eosinophilia, hepatotoxicity, local reaction, phlebitis, pseudomembranous colitis, sensitisation, shock, skin necrosis, thrombophlebitis, gastrointestinal tract irritation, laryngospasm, nephropathy, tongue discolouration, tubulointerstitial nephritis, laryngeal oedema, serum sickness, necrosis",57
naloxone,"abdominal pain, agitation, angiopathy, asthenia, body temperature increased, cardiac disorder, chills, convulsion, depression, diarrhoea, dyspnoea, flushing, gastrointestinal disorder, hallucination, hot flush, hyperhidrosis, hypertension, injection site reaction, irritability, mediastinal disorder, menopausal symptoms, mental disorder, nasopharyngitis, nausea, nervous system disorder, nervousness, pain, paraesthesia, piloerection, skin disorder, sneezing, tachycardia, tension, tremor, vomiting, cardiac arrest, encephalopathy, hyperkinesia, pulmonary oedema, rhinorrhoea, ventricular fibrillation, ventricular tachycardia, withdrawal syndrome, yawning, coma, grand mal convulsion, cardiac fibrillation, drug dependence",48
